political_party,tweet_text,reply
fvdemocratie,Ook rechtsfilosoof Eva Vlaardingerbroek spreekt op het #FVD-congres! Vlaardingerbroek is een verfrissende stem in het publieke debat. Zij zal spreken over het hedendaagse feminisme en het gevaar dat dat voor vrouwen én onze samenleving vormt. Kom ook! https://t.co/qBhndMiiRf https://t.co/BiUzaqhrGb,True
fvdemocratie,RT @SnedigeRekel: De #verzonnen #stikstofcrisis in beeld. #saneerdeoverheid https://t.co/nIxIbwiB6o,True
fvdemocratie,RT @thierrybaudet: Ik weet nog precies hoe ik me voelde toen ik op 21 november 2014 de statuten van #FVD ondertekende. Vandaag staat een pa…,True
fvdemocratie,"Het klimaatbeleid is slecht voor NL. #FVD nam daarom het @Clintel_NL-rapport 'There is no climate emergency' in het Europarlement in ontvangst. FVD is voor innovatie, maar tegen massahysterie. Wij willen een klimaatbeleid waar ons land wél wat aan heeft! https://t.co/O4uuULwbMI https://t.co/LlnxkwvzJX",True
fvdemocratie,"Paul Cliteur, onze fractievoorzitter in de Eerste Kamer, is de tweede spreker op ons congres. Kaarten zijn gratis en te verkrijgen op https://t.co/Rood5Jdvc2! https://t.co/EorB3sFhmw",True
fvdemocratie,RT @thierrybaudet: We bestaan 5 jaar! #FVD https://t.co/WZT8YZw0CX via @fvdemocratie,True
fvdemocratie,De pensioenkortingen moeten direct van tafel. De rekenrente moet realistischer worden. En de achterliggende oorzaak moet worden aangepakt: door de euro blijft het Nederlandse pensioengeld naar Zuid-Europa stromen in plaats van naar onze ouderen. https://t.co/O4uuULwbMI https://t.co/QGpWbyi4PC,True
fvdemocratie,RT @djeppink: @fvdemocratie en @ECR houden nu bijeenkomst in @EP te Brussel over klimaat beleid. @Clintel_NL lanceert een Europese Klimaat…,True
cdavandaag,Onze delegatieleider in Europa @Esther_de_Lange is weer verkozen tot vicevoorzitter van de EVP. Gefeliciteerd Esther! 💪🎉 #teamCDA https://t.co/Dr4Iag7OjT,True
cdavandaag,"RT @hugodejonge: The concerns of ordinary people should be our concerns. Because if we do not provide proper answers to those concerns, the…",True
cdavandaag,"Kijk nu live naar de speech van @hugodejonge in Zagreb! 

📺 https://t.co/drKXL6h8Qd #EPPZagreb https://t.co/Ol1hFAwWzQ",True
cdavandaag,"Minister @hugodejonge spreekt zometeen live op het EVP congres in Zagreb. #EPPZagreb 

Kijken ➡️ https://t.co/pMiTttYWvC https://t.co/4aFCCr2LfB",True
cdavandaag,"Samen maken we van Nederland een #ZijaanZijmaatschappij. Help je mee? https://t.co/kXEyD1RQd9

Niet wij of zij, maar zij aan zij! 
😡🤮➡😁😉 https://t.co/5qA0rV3B2l",True
cdavandaag,“Overlastgevende asielzoekers die hier niet mogen blijven moeten harder worden aangepakt” volgens Kamerlid @MvanToorenburg. #GoedemorgenNederland https://t.co/kBzezEGhGz,True
cdavandaag,"Veel mensen maken zich zorgen om hun #pensioen. 

🗣 Kamerlid @PieterOmtzigt: “We zijn blij met de oplossing voor dit moment. Maar het blijft van groot belang dat we het komend jaar als politiek én sociale partners blijven werken aan een een nieuw pensioencontract.” https://t.co/OkORcuAiFh",True
cdavandaag,"👉 Hoe vaak heeft een boswachter met #ondermijning te maken? Dagelijks. 

Minister @ferdgrapperhaus wil hier iets aan doen. Wil jij weten wat hij hierover zegt? Bekijk het filmpje. https://t.co/YFKuUhORcQ",True
cdavandaag,"Blik samen met @PieterHeerma terug op zijn eerste #CDAcongres als fractievoorzitter.

Verder kijken➡ https://t.co/Av4npI8vTg https://t.co/j7I16YLqsQ",True
cdavandaag,"RT @PieterHeerma: Mijn eerste #CDAcongres als fractievoorzitter was mooi, maar natuurlijk ook spannend. Terugblik ⤵ https://t.co/5ExzBIjJDZ",True
groenlinks,"RT @suzanne_GL: Zeven snelwegen, die voor meer #stikstof en #CO2-uitstoot zorgen moeten per se door. En het spoor krijgt geen prioriteit.…",True
groenlinks,Lekker bezig Rotterdam 💚. https://t.co/BvtpWBwGrh,True
groenlinks,RT @suzanne_GL: Eerste stap gezet tegen de vervuilende party plastics. De minister omarmde ons voorstel en ze gaat met de vuurwerkfabrikant…,True
groenlinks,"RT @NielsvdBerge: ‘Een inktzwarte dag voor de politie’, aldus de bonden. Dit kabinet doet onvoldoende om de gigantische werkdruk voor agent…",True
groenlinks,"RT @suzanne_GL: Luchtvaart ziet vliegtaks niet zitten en is bang dat het spoor de “lachende derde” wordt, aldus de baas van @AirFranceKLM.…",True
groenlinks,"“Met bloed, zweet en tranen.” 🎵

Prima strijdlied voor de grootste #ziekenhuisstaking ooit. 😉 En wat een fantastische opkomst!

Deze mensen zijn het hart van onze zorg. Ze verdienen meer salaris, meer collega’s en meer waardering. https://t.co/nXo5xl1WZs",True
groenlinks,"RT @jesseklaver: Verpleegkundigen zijn zo ongelofelijk belangrijk. Daarom, geef deze mensen wat ze verdienen: meer salaris, minder werkdruk…",True
groenlinks,"@JoyceKarel @CorinneEllemeet Precies, verpleegkundigen verdienen het om genoeg tijd te hebben om mensen te kunnen helpen: https://t.co/Iha3rtpmNW. ^Luuk",True
groenlinks,"“We zijn er om voor mensen te zorgen. Dat wil ik met een veilig gevoel kunnen doen. Dat je genoeg tijd hebt, en genoeg collega’s.”

Verpleegkundigen vertellen Kamerlid @CorinneEllemeet waarom ze vandaag staken. 💚

Volg ons op Instagram voor alle verhalen: https://t.co/O4QVdUB9t5",True
groenlinks,"@jvanamsterdam De marktwerking in de zorg heeft voor deze problemen gezorgd. Het geld wat voor de zorg bestemd is, moet gaan naar de zorg. 

Geen geld meer naar de bonussen van bestuurders, geen geld meer naar de marketing van verzekeraars en geen woekerwinsten meer voor farmaceuten. ^Luuk",True
D66,@GeLeHesjesNL Het zijn afschuwelijke beelden die op social media rondgaan over een incident in Gorinchem. Geweld keuren wij af. Het is goed dat de politie Gorinchem duidelijk maakt dat zij dit zeer serieus nemen en met een onderzoek zijn gestart. #voordetoekomst ^Bas,True
D66,@superjan @OnsOranje Het zijn afschuwelijke beelden die op social media rondgaan over een incident in Gorinchem. Geweld keuren wij af. Het is goed dat de politie Gorinchem duidelijk maakt dat zij dit zeer serieus nemen en met een onderzoek zijn gestart. #voordetoekomst ^Bas,True
D66,@tova1167 @VVD @groenlinks @cdavandaag @christenunie @PvdA Het zijn afschuwelijke beelden die op social media rondgaan over een incident in Gorinchem. Geweld keuren wij af. Het is goed dat de politie Gorinchem duidelijk maakt dat zij dit zeer serieus nemen en met een onderzoek zijn gestart. #voordetoekomst ^Bas,True
D66,@ebo_hoekstra @samiraraf @RobJetten @UEFA @kimvsparrentak @MalikAzmani @jhuitema @GWijnaldum @AMMoreiraa @BasEickhout @FCDenBosch @excelsiorrdam @hildevautmans @MichaelvanPraag Het zijn afschuwelijke beelden die op social media rondgaan over een incident in Gorinchem. Geweld keuren wij af. Het is goed dat de politie Gorinchem duidelijk maakt dat zij dit zeer serieus nemen en met een onderzoek zijn gestart. #voordetoekomst ^Bas,True
D66,"@TomZurich @RobJetten Hoi Tom, dank voor de tip. 👍 #voordetoekomst ^Bas",True
D66,"@TomZurich @RobJetten Hoi Tom, communiceren doen we met z’n allen..😉 Over welk onderwerp heb je een vraag? Dan kunnen we je beter verder helpen. #voordetoekomst ^Bas",True
D66,@Ruud_2 @RobJetten Jawel. En het is tijd voor actie. Zie https://t.co/cLQ9bDCWCF ^voordetoekomst ^Bas,True
D66,@SBettie @swsjoerdsma Wij spreken ons wel degelijk uit. Zie de recente tweet van Sjoerd Sjoerdsma https://t.co/n3CZ7mJzq1 #voordetoekomst ^Bas,True
D66,"@Robinbouw8 @SBettie @swsjoerdsma Dag Robin, in een eerdere reactie is duidelijk uitgelegd  waarom er verschillen zijn tussen Nederland en Duitsland. Dan gaat het over stikstof en gehanteerde normen. #voordetoekomst ^Bas",True
D66,"@SBettie Hoi Bettie, heb je deze tweet van Rob gezien? https://t.co/CFFr2L9657 Verder meen ik dat je enige tijd terug uitgebreid gesproken hebt met @swsjoerdsma. #voordetoekomst ^Bas",True
SPnl,"Rotterdam zonder wijkagenten?👮‍♀️
Amsterdam zonder team Georganiseerde Criminaliteit?🚓

Dat zijn de keuzes die de #politie nu moet maken omdat ze uitgeknepen worden, maar de minister wil hun noodkreet niet horen. 

Structurele investeringen zijn nodig: https://t.co/BvYc8BxuZe https://t.co/c7UDrLiaG7",True
SPnl,RT @MarijnissenL: Noodkreet van de politie: “Het is volstrekt onvoldoende wat het kabinet doet voor de politie. We zijn de beloftes zat. He…,True
SPnl,"De pensioenen moeten weer meestijgen met de prijzen! Bijna 60.000 mensen ondertekenden de petitie met die oproep van https://t.co/CbkXLIeTwk

Volgens SP-Kamerlid @bartvankent moet het pensioenakkoord daarom worden opengebroken. https://t.co/LU69CkqCrT",True
SPnl,"Het recht moet voor iedereen bereikbaar zijn.👩‍⚖️

Maar in 20 jaar tijd is het aantal locaties waar recht wordt gesproken gehalveerd.

SP-Kamerlid Michiel van Nispen pleit daarom vandaag samen met de ChristenUnie voor een laagdrempelige rechter in de buurt: https://t.co/rQQS9gzRPa https://t.co/VaNcyRGyEi",True
SPnl,"RT @MarijnissenL: “Een decentraal postennet met een gecompliceerde ICT-structuur”

Uhhhh.... 🤔 

Of de Tweede Kamer nog even een weekje wil…",True
SPnl,"Ook in Zutphen zijn we erbij! Voor een eerlijk loon en een lagere werkdruk voor zorgmedewerkers.🏥

#ziekenhuisstaking #zorgstaking #levedeverpleegkundige https://t.co/z2cztbHKnf",True
SPnl,"Van Tilburg tot Terneuzen: ziekenhuizen in actie! Wij steunen ook daar de zorgmedewerkers.

#ziekenhuisstaking #zorgstaking #levedeverpleegkundige https://t.co/arTjQpw0JE",True
SPnl,"RT @MarijnissenL: Misschien wel de grootste schande van deze tijd. 

Terwijl het aantal miljonairs stijgt,
leven zeker 277.000 kinderen in…",True
SPnl,"Zorgmedewerkers staan op! Ook in het Westeinde Ziekenhuis in Den Haag. 

Ziekenhuismedewerkers komen terecht in actie voor een eerlijk loon en een lagere werkdruk. Die strijd voor goede zorg steunen we natuurlijk👇

#ziekenhuisstaking #zorgstaking #levedeverpleegkundige https://t.co/BCXXGxVjoW",True
SPnl,"RT @MarijnissenL: Wow! Wat een strijdbaarheid bij de medewerkers van het Westeinde ziekenhuis in Den Haag. 

Natuurlijk steunen wij hen in…",True
50pluspartij,Ons Kamerlid @CvanBrenk is vanmiddag van 15.00 uur tot 16.00 uur samen met @PaulSmeulders van @groenlinks te gast in de uitzending van @NPORadio1 @EenVandaag. Ze praten dan over #pensioenen en ontwikkelingen op de arbeidsmarkt. Luisteren!,True
50pluspartij,RT @CvanBrenk: Ze staan erbij en vinden het wel best. Voor @50pluspartij echt onbegrijpelijk https://t.co/LaYopqJfaX,True
50pluspartij,RT @PaulSmeulders: Van 15.00 tot 16.00 te gast bij @EenVandaag @NPORadio1. Met collega @CvanBrenk @50pluspartij in gesprek over pensioenen…,True
50pluspartij,RT @HenkKrol: Brief van de dag in het AD. Veel gepensioneerden zijn al een kwart van hun pensioen kwijt. Dat is toch reden voor een opstand…,True
50pluspartij,"RT @HenkKrol: Gut, gut, gut.
Vorige week leek het er even op dat PvdA en GroenLinks eindelijk ook het belang van gepensioneerden gingen beh…",True
50pluspartij,"Gepensioneerden hebben de ‘grootste korting aller tijden’ moeten ophoesten; al elf jaar worden pensioenen niet geïndexeerd. “Na elf jaar op de nullijn wordt het nu tijd dat er zicht komt op indexatie!”, stelt 50PLUS-Kamerlid @CvanBrenk.
https://t.co/9sZV1ugyFY",True
50pluspartij,RT @CvanBrenk: Dat wisten we toen ook al en hebben dat Jetta Klijnsma PvdA duidelijk laten horen. De huidige participatiewet is een ‘werk’-…,True
50pluspartij,RT @HenkKrol: In korte tijd hebben al 59.201 mensen het manifest ‘Kom in actie voor uw pensioen’ getekend. Minister Koolmees nam de steunbe…,True
50pluspartij,"RT @HenkKrol: ‘Pensioenfondsen halen geweldige rendementen, korten is niet nodig’ https://t.co/NbzfrlFTYL",True
50pluspartij,"RT @HenkKrol: Als jihadisten onverhoopt terugkomen om berecht te worden, haal dan ook de slachtoffers op om tegen hen te getuigen.
En neem…",True
christenunie,RT @PaulBlokhuis: Recent leidde ex-dakloze Fred mij rond in Utrecht. De lokale @ChristenUnie organiseert een actie voor zijn stichting @rec…,True
christenunie,RT @JoelVoordewind: Gelukkig stopt NL op aandringen van @christenunie en @WybrenvanHaga (motie) met de betalingen van NL aan de Palestijnse…,True
christenunie,RT @CUUtrecht: Zaterdag is het partijcongres van @ChristenUnie in Utrecht. Als lokale afdeling organiseren we een inzamelingsactie voor Utr…,True
christenunie,RT @JoelVoordewind: Hier mijn blog over de totaal disproportionele veroordelingen van Israel door de VN. Het feit dat de ernstige mensenrec…,True
christenunie,"Nieuw: de Tweede Kamerfractie van de ChristenUnie zoekt een
beleidsmedewerker financiën. 
Kijk voor meer informatie op https://t.co/eh7Zb8U9Uw #vacature https://t.co/hujZ7no12W",True
christenunie,RT @gertjansegers: Ik heb in Oekraïne iets gezien van de gruwelijkste gevolgen van antisemitisme. Des te dankbaarder ben ik voor het bestaa…,True
christenunie,@gjstavorinus @gertjansegers Zie de reactie van @joelvoordewind: https://t.co/x8VvsoMadc,True
christenunie,"RT @JoelVoordewind: Dit is geen Speld-bericht. 
Kan niet waar zijn! 
Geen enkele verwijzing meer naar de Tempelberg, alleen naar de drie mo…",True
christenunie,RT @StienekevdGraaf: Mooi nieuws! Kabinet komt met extra geld voor sociaal advocaten. Het is belangrijk dat zij hun werk kunnen blijven doe…,True
christenunie,"""Al helemaal met een lampje te zoeken zijn politici die af en toe een boek schrijven én eerlijk antwoord geven op lastige vragen. Gert-Jan Segers van de ChristenUnie is er zo een."" 
Interessante beschouwing van @thijsbroer in @vrij_nederland: https://t.co/o2aIfyPVbD #leestip",True
